0,0,0,0,1,0,0,0,1,Privilege Misuse
0,0,0,1,0,0,0,0,2,Lost and Stolen Assets
0,0,0,0,0,1,0,0,2,Lost and Stolen Assets
0,1,0,0,0,0,0,0,3,Web Applications
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,1,0,0,0,0,0,0,4,Web Applications
0,0,0,1,0,0,0,0,5,Lost and Stolen Assets
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,0,0,0,1,0,0,0,1,Privilege Misuse
0,0,0,0,0,1,0,0,6,Lost and Stolen Assets
0,0,0,0,0,1,0,0,6,Miscellaneous Errors
0,0,0,1,0,0,0,0,2,Lost and Stolen Assets
0,0,0,1,0,0,0,0,2,Lost and Stolen Assets
0,1,0,0,0,0,0,0,2,Web Applications
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,0,0,1,0,0,0,0,2,Lost and Stolen Assets
0,0,0,1,0,0,0,0,2,Lost and Stolen Assets
0,1,0,0,0,0,0,0,7,Web Applications
0,0,0,0,0,1,0,0,6,Miscellaneous Errors
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,0,0,0,1,0,0,0,1,Privilege Misuse
0,0,0,1,0,0,0,0,2,Lost and Stolen Assets
1,1,1,0,0,0,0,0,7,Cyber-Espionage
0,1,0,0,0,0,0,0,8,Everything Else
0,1,0,0,0,0,0,0,1,Web Applications
0,0,0,0,1,0,0,0,6,Privilege Misuse
0,0,0,0,0,1,0,0,2,Miscellaneous Errors
0,0,0,0,0,1,0,0,2,Miscellaneous Errors
0,0,0,1,0,0,0,0,1,Lost and Stolen Assets
0,1,0,0,0,0,0,0,9,Everything Else
0,0,0,0,0,0,0,1,5,Everything Else
0,1,0,0,0,0,0,0,3,Denial of Service
0,0,1,0,1,0,0,0,10,Privilege Misuse
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,0,1,0,1,0,0,0,10,Privilege Misuse
0,0,0,0,0,1,0,0,11,Miscellaneous Errors
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,1,0,0,0,0,0,0,3,Web Applications
0,0,0,0,1,0,0,0,2,Privilege Misuse
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
0,0,0,0,0,1,0,0,1,Miscellaneous Errors
